nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
JACK BRICKER;TRUE;Key Artists;Special Effects;Se7en;nm0108580;Jack Bricker;A;nm0108580;Jack Bricker;A;nm0108580;Jack Bricker;A;nm0108580;Jack Bricker;A;nm0108580;Jack Bricker;A;nm0108580;Jack Bricker;A;nm0108580;Jack Bricker;A;;
JACK ENGLISH;TRUE;Location Coordinator;Location Managers;Apocalypse Now;nm0257629;Jack English;A;nm0257629;Jack English;A;nm0257629;Jack English;A;nm0257629;Jack English;A;nm0257629;Jack English;A;nm0257629;Jack English;A;nm0257629;Jack English;A;;
BOBB BRUNO;TRUE;assistant to mr. brion;Additional Crew;Eternal Sunshine of the Spotless Mind;nm2553018;Bobb Bruno;A;nm2553018;Bobb Bruno;A;nm2553018;Bobb Bruno;A;nm2553018;Bobb Bruno;A;nm2553018;Bobb Bruno;A;nm2553018;Bobb Bruno;A;nm2553018;Bobb Bruno;A;;
JACK JACOBSEN;TRUE;Production Recordists;Sound Department;Apocalypse Now;nm0414726;Jack C. Jacobsen;M;nm0414726;Jack C. Jacobsen;M;nm0414726;Jack C. Jacobsen;M;;JACK JACOBSEN;X;;JACK JACOBSEN;X;;JACK JACOBSEN;X;;JACK JACOBSEN;X;;
JACK KELLER;TRUE;Recordists;Sound Department;Se7en;;JACK KELLER;X;;JACK KELLER;X;;JACK KELLER;X;;JACK KELLER;X;;JACK KELLER;X;;JACK KELLER;X;;JACK KELLER;X;;
Jack Maeby;TRUE;Adaptors;Dubbing;Dark S01E09;nm0535320;Jack Maeby;A;nm0535320;Jack Maeby;A;nm0535320;Jack Maeby;A;nm0535320;Jack Maeby;A;nm0535320;Jack Maeby;A;nm0535320;Jack Maeby;A;nm0535320;Jack Maeby;A;;
Jack MOHNSAM;TRUE;Chef de cuisine;Cast;Maigret S03E01;nm0596029;Jack Mohnsam;A;nm0596029;Jack Mohnsam;A;nm0596029;Jack Mohnsam;A;nm0596029;Jack Mohnsam;A;nm0596029;Jack Mohnsam;A;nm0596029;Jack Mohnsam;A;nm0596029;Jack Mohnsam;A;;
JACK NANCE;TRUE;;Cast;Twin Peaks S01E03;;JACK NANCE;X;;JACK NANCE;X;;JACK NANCE;X;;JACK NANCE;X;;JACK NANCE;X;;JACK NANCE;X;;JACK NANCE;X;;
JACK PANUCCIO;TRUE;key rigging grip;Camera and Electrical Department;Eternal Sunshine of the Spotless Mind;nm12785694;Jack Panuccio;A;nm12785694;Jack Panuccio;A;nm12785694;Jack Panuccio;A;nm12785694;Jack Panuccio;A;nm12785694;Jack Panuccio;A;nm12785694;Jack Panuccio;A;nm12785694;Jack Panuccio;A;;
JACK PHILLIPS;TRUE;Roto/Prep Supervisors;Visual Effects;Chernobyl S01E01;nm4673241;Jack Phillips;A;nm4673241;Jack Phillips;A;nm4673241;Jack Phillips;A;nm4673241;Jack Phillips;A;nm4673241;Jack Phillips;A;nm4673241;Jack Phillips;A;nm4673241;Jack Phillips;A;;
JACK SILBERG;TRUE;;Thanks;Se7en;;JACK SILBERG;X;;JACK SILBERG;X;;JACK SILBERG;X;;JACK SILBERG;X;;JACK SILBERG;X;;JACK SILBERG;X;;JACK SILBERG;X;;
JACK THIBEAU;TRUE;Soldier in Trench;Cast;Apocalypse Now;nm0857806;Jack Thibeau;A;nm0857806;Jack Thibeau;A;nm0857806;Jack Thibeau;A;nm0857806;Jack Thibeau;A;nm0857806;Jack Thibeau;A;nm0857806;Jack Thibeau;A;nm0857806;Jack Thibeau;A;;
Jack Waller;TRUE;GOT A DATE WITH AN ANGEL;Soundtrack;Amelie;nm1082670;Jack Waller;A;nm1082670;Jack Waller;A;nm1082670;Jack Waller;A;nm1082670;Jack Waller;A;nm1082670;Jack Waller;A;nm1082670;Jack Waller;A;nm1082670;Jack Waller;A;;
JACK YOUNG;TRUE;Makeup;Makeup Department;Apocalypse Now;nm11760435;Jack Young;A;nm11760435;Jack Young;A;nm11760435;Jack Young;A;nm11760435;Jack Young;A;nm11760435;Jack Young;A;nm11760435;Jack Young;A;nm11760435;Jack Young;A;;
JACKIE FOOTE;TRUE;Floor Manager;Additional Crew;Yes, Prime Minister S01E08;nm1128963;Jackie Foote;A;nm1128963;Jackie Foote;A;nm1128963;Jackie Foote;A;nm1128963;Jackie Foote;A;nm1128963;Jackie Foote;A;nm1128963;Jackie Foote;A;nm1128963;Jackie Foote;A;;
JEFF SCHLESINGER;TRUE;assistant to mr. bushell;Additional Crew;Eternal Sunshine of the Spotless Mind;nm1016940;Jeff Schlesinger;A;nm1016940;Jeff Schlesinger;A;nm1016940;Jeff Schlesinger;A;nm1016940;Jeff Schlesinger;A;nm1016940;Jeff Schlesinger;A;nm1016940;Jeff Schlesinger;A;nm1016940;Jeff Schlesinger;A;;
STEPHANIE DETIEGE;TRUE;assistant to mr. carrey;Additional Crew;Eternal Sunshine of the Spotless Mind;nm1189080;Stephanie DeTiege;A;nm1189080;Stephanie DeTiege;A;nm1189080;Stephanie DeTiege;A;nm1189080;Stephanie DeTiege;A;nm1189080;Stephanie DeTiege;A;nm1189080;Stephanie DeTiege;A;nm1189080;Stephanie DeTiege;A;;
JACOBO S-D ROSÓN;TRUE;2â¢ Ayudantes de DirecciÃ³n;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;
JACOBO S-D ROSÓN;TRUE;Aiudante de DirecciÃ³n;Second Unit Directors or Assistant Directors;El desorden que dejas S01E03;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;JACOBO S-D ROSÓN;X;;
Jacopo Bonvicini;TRUE;II Aiuto regista;Second Unit Directors or Assistant Directors;La grande bellezza;nm1140884;Jacopo Bonvicini;A;nm1140884;Jacopo Bonvicini;A;nm1140884;Jacopo Bonvicini;A;nm1140884;Jacopo Bonvicini;A;nm1140884;Jacopo Bonvicini;A;nm1140884;Jacopo Bonvicini;A;nm1140884;Jacopo Bonvicini;A;;
Jacopo da Bassano;TRUE;;Unknown;La grande bellezza;;Jacopo da Bassano;X;;Jacopo da Bassano;X;;Jacopo da Bassano;X;;Jacopo da Bassano;X;;Jacopo da Bassano;X;;Jacopo da Bassano;X;;Jacopo da Bassano;X;;
JACQUELINE LESKO;TRUE;Co-Producer;Producers;Chernobyl S01E01;nm0504020;Jacqueline Lesko;A;nm0504020;Jacqueline Lesko;A;nm0504020;Jacqueline Lesko;A;nm0504020;Jacqueline Lesko;A;nm0504020;Jacqueline Lesko;A;nm0504020;Jacqueline Lesko;A;nm0504020;Jacqueline Lesko;A;;
Jacques CIRON;TRUE;Directeur du Majestic;Cast;Maigret S03E01;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;;
Jacques CIRON;TRUE;;Cast;Maigret S03E01;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;nm0162791;Jacques Ciron;A;;
JACQUES DACQMINE;TRUE;;Cast;La piovra S01E02;nm0196541;Jacques Dacqmine;A;nm0196541;Jacques Dacqmine;A;nm0196541;Jacques Dacqmine;A;nm0196541;Jacques Dacqmine;A;nm0196541;Jacques Dacqmine;A;nm0196541;Jacques Dacqmine;A;nm0196541;Jacques Dacqmine;A;;
Jacques DISSES;TRUE;L'épicier;Cast;Maigret S03E01;nm0228432;Jacques Disses;A;nm0228432;Jacques Disses;A;nm0228432;Jacques Disses;A;nm0228432;Jacques Disses;A;nm0228432;Jacques Disses;A;nm0228432;Jacques Disses;A;nm0228432;Jacques Disses;A;;
Jacques Pelissier;TRUE;RÃ©gisseurs d'extÃ©rieurs;Location Managers;Amelie;;Jacques Pelissier;X;;Jacques Pelissier;X;;Jacques Pelissier;X;;Jacques Pelissier;X;;Jacques Pelissier;X;;Jacques Pelissier;X;;Jacques Pelissier;X;;
JACQUES REY;TRUE;Storyboard Artist;Art Department;Se7en;nm0721095;Jacques Rey;A;nm0721095;Jacques Rey;A;nm0721095;Jacques Rey;A;nm0721095;Jacques Rey;A;nm0721095;Jacques Rey;A;nm0721095;Jacques Rey;A;nm0721095;Jacques Rey;A;;
Jacques Smerlak;TRUE;Producteur exÃ©cutif musique;Music Department;Amelie;nm1221838;Jacques Smerlak;A;nm1221838;Jacques Smerlak;A;nm1221838;Jacques Smerlak;A;nm1221838;Jacques Smerlak;A;nm1221838;Jacques Smerlak;A;nm1221838;Jacques Smerlak;A;nm1221838;Jacques Smerlak;A;;
Jacques Viala;TRUE;le client qui humilie son ami;Cast;Amelie;nm0895607;Jacques Viala;A;nm0895607;Jacques Viala;A;nm0895607;Jacques Viala;A;nm0895607;Jacques Viala;A;nm0895607;Jacques Viala;A;nm0895607;Jacques Viala;A;nm0895607;Jacques Viala;A;;
JAIME ANDRES CASTANEDA;TRUE;Animators;Visual Effects;Fight Club;;JAIME ANDRES CASTANEDA;X;;JAIME ANDRES CASTANEDA;X;;JAIME ANDRES CASTANEDA;X;;JAIME ANDRES CASTANEDA;X;;JAIME ANDRES CASTANEDA;X;;JAIME ANDRES CASTANEDA;X;;JAIME ANDRES CASTANEDA;X;;
JAIME OLMEDO;TRUE;Foto Fija;Additional Crew;El desorden que dejas S01E03;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;
JAIME PÉREZ;TRUE;Operadores CÃ¡mara;Camera and Electrical Department;El desorden que dejas S01E03;;JAIME PÉREZ;X;;JAIME PÉREZ;X;;JAIME PÉREZ;X;;JAIME PÉREZ;X;;JAIME PÉREZ;X;;JAIME PÉREZ;X;;JAIME PÉREZ;X;;
JAIRO IGLESIAS;TRUE;Making Of;Additional Crew;El desorden que dejas S01E03;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;
JAIRO MAHUGO MONTILLA;TRUE;ProducciÃ³n;Production Department;El desorden que dejas S01E03;;JAIRO MAHUGO MONTILLA;X;;JAIRO MAHUGO MONTILLA;X;;JAIRO MAHUGO MONTILLA;X;;JAIRO MAHUGO MONTILLA;X;;JAIRO MAHUGO MONTILLA;X;;JAIRO MAHUGO MONTILLA;X;;JAIRO MAHUGO MONTILLA;X;;
JAKOB IHRE;TRUE;Director of Photography;Cinematographers;Chernobyl S01E01;nm1257420;Jakob Ihre;A;nm1257420;Jakob Ihre;A;nm1257420;Jakob Ihre;A;nm1257420;Jakob Ihre;A;nm1257420;Jakob Ihre;A;nm1257420;Jakob Ihre;A;nm1257420;Jakob Ihre;A;;
Jamaica Corridori;TRUE;Ballerina burlesque;Cast;La grande bellezza;nm6220394;Jamaica Corridori;A;nm6220394;Jamaica Corridori;A;nm6220394;Jamaica Corridori;A;nm6220394;Jamaica Corridori;A;nm6220394;Jamaica Corridori;A;nm6220394;Jamaica Corridori;A;nm6220394;Jamaica Corridori;A;;
Jamel Debbouze;TRUE;;Cast;Amelie;nm0213354;Jamel Debbouze;A;nm0213354;Jamel Debbouze;A;nm0213354;Jamel Debbouze;A;nm0213354;Jamel Debbouze;A;nm0213354;Jamel Debbouze;A;nm0213354;Jamel Debbouze;A;nm0213354;Jamel Debbouze;A;;
JAMES A. BORGARDT;TRUE;Dialogue Editors;Sound Department;Apocalypse Now;nm1615261;James Borgardt;M;nm1615261;James Borgardt;M;nm1615261;James Borgardt;M;;JAMES A. BORGARDT;X;;JAMES A. BORGARDT;X;;JAMES A. BORGARDT;X;;JAMES A. BORGARDT;X;Jim Borgardt;nm0096472
JAMES A. LUNDIN;TRUE;Drivers;Transportation Department;Se7en;nm0526497;James A. Lundin;A;nm0526497;James A. Lundin;A;nm0526497;James A. Lundin;A;nm0526497;James A. Lundin;A;nm0526497;James A. Lundin;A;nm0526497;James A. Lundin;A;nm0526497;James A. Lundin;A;;
Duravit España;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
Eclair Studios Germany;FALSE;Studio;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
JAMES B. SIKKING;TRUE;;Cast;Hill Street Blues S01E13;nm0797725;James Sikking;M;nm0797725;James Sikking;M;nm0797725;James Sikking;M;;JAMES B. SIKKING;X;;JAMES B. SIKKING;X;;JAMES B. SIKKING;X;;JAMES B. SIKKING;X;;
EL DESORDEN CREA;FALSE;Desarrollo Creativo;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
EL MUNDO DEL PAPEL PINTADO;FALSE;Compras Mobiliario y AmbientaciÃ³n;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
JAMES BATTERSBY;TRUE;Shot Designers;Visual Effects;Fight Club;nm0061379;James Battersby;A;nm0061379;James Battersby;A;nm0061379;James Battersby;A;nm0061379;James Battersby;A;nm0061379;James Battersby;A;nm0061379;James Battersby;A;nm0061379;James Battersby;A;;
JAMES BONIECE;TRUE;key construction grips;Camera and Electrical Department;Eternal Sunshine of the Spotless Mind;nm0094561;James Boniece;A;nm0094561;James Boniece;A;nm0094561;James Boniece;A;nm0094561;James Boniece;A;nm0094561;James Boniece;A;nm0094561;James Boniece;A;nm0094561;James Boniece;A;;
Elephant Records;FALSE;CortesÃ­a de;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
Elephant Records;FALSE;CortesÃ­a de;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
Elephant Records;FALSE;CortesÃ­a de;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
JAMES BOWEN JR;TRUE;Swing Gang;Art Department;Se7en;;JAMES BOWEN JR;X;;JAMES BOWEN JR;X;;JAMES BOWEN JR;X;;JAMES BOWEN JR;X;;JAMES BOWEN JR;X;;JAMES BOWEN JR;X;;JAMES BOWEN JR;X;;
Elephant Records;FALSE;CortesÃ­a de;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
Elephant Records;FALSE;CortesÃ­a de;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
Elephant Records;FALSE;CortesÃ­a de;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
JAMES CASEY;TRUE;Sculptor;Art Department;Apocalypse Now;nm2174850;Casey James;M;nm2174850;Casey James;M;nm2174850;Casey James;M;nm2174850;Casey James;M;nm2174850;Casey James;M;nm2174850;Casey James;M;nm2174850;Casey James;M;James B. Casey;nm1223040
JAMES COX;TRUE;Health & Safety Advisors;Health and Safety Department;Chernobyl S01E01;;JAMES COX;X;;JAMES COX;X;;JAMES COX;X;;JAMES COX;X;;JAMES COX;X;;JAMES COX;X;;JAMES COX;X;;
JAMES DOMORSKI;TRUE;24 frame playback;Camera and Electrical Department;Eternal Sunshine of the Spotless Mind;nm1175340;James Domorski;A;nm1175340;James Domorski;A;nm1175340;James Domorski;A;nm1175340;James Domorski;A;nm1175340;James Domorski;A;nm1175340;James Domorski;A;nm1175340;James Domorski;A;;
JAMES DONAHUE;TRUE;scenics;Art Department;Eternal Sunshine of the Spotless Mind;;JAMES DONAHUE;X;;JAMES DONAHUE;X;;JAMES DONAHUE;X;;JAMES DONAHUE;X;;JAMES DONAHUE;X;;JAMES DONAHUE;X;;JAMES DONAHUE;X;;
JAMES DONOHUE;TRUE;Laborers;Art Department;Se7en;nm0232903;James Donohue;A;nm0232903;James Donohue;A;nm0232903;James Donohue;A;nm0232903;James Donohue;A;nm0232903;James Donohue;A;nm0232903;James Donohue;A;nm0232903;James Donohue;A;;
JAMES F. KELLY;TRUE;drivers;Transportation Department;Eternal Sunshine of the Spotless Mind;;JAMES F. KELLY;X;;JAMES F. KELLY;X;;JAMES F. KELLY;X;;JAMES F. KELLY;X;;JAMES F. KELLY;X;;JAMES F. KELLY;X;;JAMES F. KELLY;X;;
JAMES FELDMAN;TRUE;Conceptual Artist;Art Department;Se7en;nm2138477;James Feldman;A;nm2138477;James Feldman;A;nm2138477;James Feldman;A;nm2138477;James Feldman;A;nm2138477;James Feldman;A;nm2138477;James Feldman;A;nm2138477;James Feldman;A;;
JAMES G. CANE;TRUE;Set Decorator;Set Decorators;Hill Street Blues S01E13;nm0133809;James Cane;M;nm0133809;James Cane;M;;JAMES G. CANE;X;;JAMES G. CANE;X;;JAMES G. CANE;X;;JAMES G. CANE;X;;JAMES G. CANE;X;;
JAMES HAYGOOD;TRUE;additional editors;Editorial Department;Eternal Sunshine of the Spotless Mind;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;;
JAMES HAYGOOD;TRUE;Film Editor;Editors;Fight Club;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;nm0371307;James Haygood;A;;
JAMES HILL;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;
JAMES KEANE;TRUE;Kilgore's Gunner;Cast;Apocalypse Now;;JAMES KEANE;X;;JAMES KEANE;X;;JAMES KEANE;X;;JAMES KEANE;X;;JAMES KEANE;X;;JAMES KEANE;X;;JAMES KEANE;X;;
Eme;FALSE;;Miscellaneous Companies;El desorden que dejas S01E03;;;;;;;;;;;;;;;;;;;;;;;
JAMES LEVINE;TRUE;AZ Facility Staff;Additional Crew;Apocalypse Now;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;
JAMES MARSHALL;TRUE;;Cast;Twin Peaks S01E03;;JAMES MARSHALL;X;;JAMES MARSHALL;X;;JAMES MARSHALL;X;;JAMES MARSHALL;X;;JAMES MARSHALL;X;;JAMES MARSHALL;X;;JAMES MARSHALL;X;;
JAMES MILLER;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;JAMES MILLER;X;;
RACHEL SCHADT;TRUE;Assistant to Mr. Fincher;Additional Crew;Se7en;;RACHEL SCHADT;X;;RACHEL SCHADT;X;;RACHEL SCHADT;X;;RACHEL SCHADT;X;;RACHEL SCHADT;X;;RACHEL SCHADT;X;;RACHEL SCHADT;X;;
JAMES NOBLE;TRUE;Company Electricians;Camera and Electrical Department;Fight Club;;JAMES NOBLE;X;;JAMES NOBLE;X;;JAMES NOBLE;X;;JAMES NOBLE;X;;JAMES NOBLE;X;;JAMES NOBLE;X;;JAMES NOBLE;X;;
JAMES O'BRIEN;TRUE;Sculptor;Art Department;Chernobyl S01E01;;JAMES O'BRIEN;X;;JAMES O'BRIEN;X;;JAMES O'BRIEN;X;;JAMES O'BRIEN;X;;JAMES O'BRIEN;X;;JAMES O'BRIEN;X;;JAMES O'BRIEN;X;;
JAMES ROBSON;TRUE;3D Artists;Visual Effects;Chernobyl S01E01;;JAMES ROBSON;X;;JAMES ROBSON;X;;JAMES ROBSON;X;;JAMES ROBSON;X;;JAMES ROBSON;X;;JAMES ROBSON;X;;JAMES ROBSON;X;;
James Snell;TRUE;Arnold Upcher;Cast;Prime Suspect S01E01;nm0811042;James Snell;A;nm0811042;James Snell;A;nm0811042;James Snell;A;nm0811042;James Snell;A;nm0811042;James Snell;A;nm0811042;James Snell;A;nm0811042;James Snell;A;;
James Thomas;TRUE;Escrito por;Soundtrack;El desorden que dejas S01E03;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;James Thomas;X;;
James Warren;TRUE;written by;Soundtrack;Eternal Sunshine of the Spotless Mind;nm1578172;James Warren;A;nm1578172;James Warren;A;nm1578172;James Warren;A;nm1578172;James Warren;A;nm1578172;James Warren;A;nm1578172;James Warren;A;nm1578172;James Warren;A;;
JAMIE SIVES;TRUE;Sitnikov;Cast;Chernobyl S01E01;nm0803397;Jamie Sives;A;nm0803397;Jamie Sives;A;nm0803397;Jamie Sives;A;nm0803397;Jamie Sives;A;nm0803397;Jamie Sives;A;nm0803397;Jamie Sives;A;nm0803397;Jamie Sives;A;;
JAN BÖHME;TRUE;2ND UNIT DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;;
JAN BÖHME;TRUE;DAILY AD'S;Second Unit Directors or Assistant Directors;Dark S01E09;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;nm2354199;Jan Böhme;A;;
JAN D'ARCY;TRUE;;Cast;Twin Peaks S01E03;nm0195440;Jan D'Arcy;A;nm0195440;Jan D'Arcy;A;nm0195440;Jan D'Arcy;A;nm0195440;Jan D'Arcy;A;nm0195440;Jan D'Arcy;A;nm0195440;Jan D'Arcy;A;nm0195440;Jan D'Arcy;A;;
JAN DIECKMANN;TRUE;Chief Textiles/Breakdown Artist;Costume and Wardrobe Department;Chernobyl S01E01;nm2235181;Jan Dieckmann;A;nm2235181;Jan Dieckmann;A;nm2235181;Jan Dieckmann;A;nm2235181;Jan Dieckmann;A;nm2235181;Jan Dieckmann;A;nm2235181;Jan Dieckmann;A;nm2235181;Jan Dieckmann;A;;
JAN ENDERLEIN;TRUE;UNIT MANAGER;Production Managers;Dark S01E09;nm2448098;Jan Enderlein;A;nm2448098;Jan Enderlein;A;nm2448098;Jan Enderlein;A;nm2448098;Jan Enderlein;A;nm2448098;Jan Enderlein;A;nm2448098;Jan Enderlein;A;nm2448098;Jan Enderlein;A;;
JAN HREBICEK;TRUE;3D Artists;Visual Effects;Chernobyl S01E01;nm10296463;Jan Hrebicek;A;nm10296463;Jan Hrebicek;A;nm10296463;Jan Hrebicek;A;nm10296463;Jan Hrebicek;A;nm10296463;Jan Hrebicek;A;nm10296463;Jan Hrebicek;A;nm10296463;Jan Hrebicek;A;;
JAN LUO;TRUE;2ND UNIT DRIVERS;Transportation Department;Dark S01E09;nm1386084;Jan Luo;A;nm1386084;Jan Luo;A;nm1386084;Jan Luo;A;nm1386084;Jan Luo;A;nm1386084;Jan Luo;A;nm1386084;Jan Luo;A;nm1386084;Jan Luo;A;;
JAN O'CONNELL;TRUE;Art Department Coordinator;Art Department;Se7en;nm0640085;Jan O'Connell;A;nm0640085;Jan O'Connell;A;nm0640085;Jan O'Connell;A;nm0640085;Jan O'Connell;A;nm0640085;Jan O'Connell;A;nm0640085;Jan O'Connell;A;nm0640085;Jan O'Connell;A;;
JAN RASKIN;TRUE;2ND UNIT KEY GRIP;Camera and Electrical Department;Dark S01E09;nm0711238;Jan Raskin;A;nm0711238;Jan Raskin;A;nm0711238;Jan Raskin;A;nm0711238;Jan Raskin;A;nm0711238;Jan Raskin;A;nm0711238;Jan Raskin;A;nm0711238;Jan Raskin;A;;
JAN RASMUS VOSS;TRUE;DAILY PHOTOGRAPHER;Camera and Electrical Department;Dark S01E09;nm3999455;Jan Rasmus Voss;A;nm3999455;Jan Rasmus Voss;A;nm3999455;Jan Rasmus Voss;A;nm3999455;Jan Rasmus Voss;A;nm3999455;Jan Rasmus Voss;A;nm3999455;Jan Rasmus Voss;A;nm3999455;Jan Rasmus Voss;A;;
JAN RIČICA;TRUE;Oksana's Kid;Cast;Chernobyl S01E01;nm10676111;Jan Ricica;A;nm10676111;Jan Ricica;A;nm10676111;Jan Ricica;A;nm10676111;Jan Ricica;A;nm10676111;Jan Ricica;A;nm10676111;Jan Ricica;A;nm10676111;Jan Ricica;A;;
JAN ROTH;TRUE;CG ARTISTS;Visual Effects;Dark S01E09;nm4144350;Jan Roth;A;nm4144350;Jan Roth;A;nm4144350;Jan Roth;A;nm4144350;Jan Roth;A;nm4144350;Jan Roth;A;nm4144350;Jan Roth;A;nm4144350;Jan Roth;A;;
Jan Szypowski;TRUE;Performed by, organ;Music Department;La grande bellezza;nm8017211;Jan Szydlowski;M;;Jan Szypowski;X;;Jan Szypowski;X;;Jan Szypowski;X;;Jan Szypowski;X;;Jan Szypowski;X;;Jan Szypowski;X;;
JAN ZEGENHAGEN;TRUE;SET DRESSERS;Art Department;Dark S01E09;nm3516900;Jan Zegenhagen;A;nm3516900;Jan Zegenhagen;A;nm3516900;Jan Zegenhagen;A;nm3516900;Jan Zegenhagen;A;nm3516900;Jan Zegenhagen;A;nm3516900;Jan Zegenhagen;A;nm3516900;Jan Zegenhagen;A;;
JANA THEIS;TRUE;LEGAL & BUSINESS AFFAIRS;Legal Department;Dark S01E09;nm9253967;Jana Theis;A;nm9253967;Jana Theis;A;nm9253967;Jana Theis;A;nm9253967;Jana Theis;A;nm9253967;Jana Theis;A;nm9253967;Jana Theis;A;nm9253967;Jana Theis;A;;
JANE ADAMS;TRUE;carrie;Cast;Eternal Sunshine of the Spotless Mind;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;
JANE ADAMS;TRUE;;Cast;Eternal Sunshine of the Spotless Mind;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;JANE ADAMS;X;;
JANE FEATHERSTONE;TRUE;Executive Producer;Producers;Chernobyl S01E01;;JANE FEATHERSTONE;X;;JANE FEATHERSTONE;X;;JANE FEATHERSTONE;X;;JANE FEATHERSTONE;X;;JANE FEATHERSTONE;X;;JANE FEATHERSTONE;X;;JANE FEATHERSTONE;X;;
JANE GOLDSMITH;TRUE;Additional Script Supervisor;Script and Continuity Department;Se7en;nm0326082;Jane Goldsmith;A;nm0326082;Jane Goldsmith;A;nm0326082;Jane Goldsmith;A;nm0326082;Jane Goldsmith;A;nm0326082;Jane Goldsmith;A;nm0326082;Jane Goldsmith;A;nm0326082;Jane Goldsmith;A;;
